Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
06-07-2025,3:07:59,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1202,AP 26 TA 0434,On-site,24950,06-07-2025 2:48:13,10010,06-07-2025 2:48:13,14940,Inert,Bethamcherla_AP_26_TA_0434_20250706_024819_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_024823_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250706_030753_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_030756_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,16:58:17,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1261,AP28TC8081,On-site,28950,06-07-2025 16:16:09,10520,06-07-2025 16:16:09,18430,Soil,Bethamcherla_AP28TC8081_20250706_161615_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_161617_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_165813_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_165815_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,17:33:26,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1265,AP27TW7569,On-site,29110,06-07-2025 17:13:14,10680,06-07-2025 17:13:14,18430,Soil,Bethamcherla_AP27TW7569_20250706_171319_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_171322_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_173319_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_173323_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,3:04:33,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1200,AP21TB4935,On-site,23990,06-07-2025 2:32:22,10750,06-07-2025 2:32:22,13240,Inert,Bethamcherla_AP21TB4935_20250706_023227_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_023231_1st_back.jpg,Bethamcherla_AP21TB4935_20250706_030426_2nd_front.jpg,Bethamcherla_AP21TB4935_20250706_030430_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,13:20:58,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1248,AP28TC8081,On-site,29970,06-07-2025 13:16:34,11030,06-07-2025 13:16:34,18940,Legacy/MSW,Bethamcherla_AP28TC8081_20250706_131640_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_131643_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_132052_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_132055_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,21:23:39,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1282,AP28TC8081,On-site,29500,06-07-2025 21:06:37,11555,06-07-2025 21:06:37,17945,Legacy/MSW,Bethamcherla_AP28TC8081_20250706_210640_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_210643_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_212333_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_212335_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,11:25:40,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1233,AP 26 TA 0434,On-site,24130,06-07-2025 11:19:50,10040,06-07-2025 11:19:50,14090,Legacy/MSW,Bethamcherla_AP_26_TA_0434_20250706_111954_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_111958_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250706_112533_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_112536_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,2:05:05,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1195,AP27TW7569,On-site,27420,06-07-2025 1:49:08,10970,06-07-2025 1:49:08,16450,Inert,Bethamcherla_AP27TW7569_20250706_014912_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_014918_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_020458_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_020502_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,13:14:37,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1247,AP26TA0434,On-site,29180,06-07-2025 13:07:51,10100,06-07-2025 13:07:51,19080,Legacy/MSW,Bethamcherla_AP26TA0434_20250706_130755_1st_front.jpg,Bethamcherla_AP26TA0434_20250706_130758_1st_back.jpg,Bethamcherla_AP26TA0434_20250706_131430_2nd_front.jpg,Bethamcherla_AP26TA0434_20250706_131433_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,1:39:24,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1192,AP27TW7569,On-site,28450,06-07-2025 1:20:59,10930,06-07-2025 1:20:59,17520,Inert,Bethamcherla_AP27TW7569_20250706_012112_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_012115_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_013915_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_013919_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,21:12:39,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1281,AP21TB4935,On-site,28800,06-07-2025 21:04:08,10555,06-07-2025 21:04:08,18245,Legacy/MSW,Bethamcherla_AP21TB4935_20250706_210412_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_210415_1st_back.jpg,Bethamcherla_AP21TB4935_20250706_211232_2nd_front.jpg,Bethamcherla_AP21TB4935_20250706_211235_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,10:17:12,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1224,AP37TD4869,On-site,25330,06-07-2025 10:08:21,10570,06-07-2025 10:08:21,14760,Legacy/MSW,Bethamcherla_AP37TD4869_20250706_100827_1st_front.jpg,Bethamcherla_AP37TD4869_20250706_100830_1st_back.jpg,Bethamcherla_AP37TD4869_20250706_101705_2nd_front.jpg,Bethamcherla_AP37TD4869_20250706_101708_2nd_back.jpg,Avijit Mondal,admin
06-07-2025,16:51:42,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1258,AP21TB4935,On-site,27560,06-07-2025 16:01:59,10640,06-07-2025 16:01:59,16920,Soil,Bethamcherla_AP21TB4935_20250706_160202_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_160205_1st_back.jpg,Bethamcherla_AP21TB4935_20250706_165136_2nd_front.jpg,Bethamcherla_AP21TB4935_20250706_165139_2nd_back.jpg,Avijit Mondal,admin
