Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
19-06-2025,12:16:40,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0077,AP28TC8081,On-Site,29320,,19-06-2025 12:05:23,,10640,19-06-2025 12:16:29,18680,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_120529_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_120533_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_121633_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_121637_2nd_back.jpg
19-06-2025,12:22:04,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0078,AP 26 TA 0434,On-Site,29110,,19-06-2025 12:08:12,,19230,19-06-2025 12:21:55,9880,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_120816_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_120820_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_122158_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_122201_2nd_back.jpg
19-06-2025,12:20:48,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0079,AP27TW7569,On-Site,31890,,19-06-2025 12:14:50,,10650,19-06-2025 12:20:37,21240,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_121455_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_121459_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_122041_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_122044_2nd_back.jpg
19-06-2025,12:47:16,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0080,AP28TC8081,On-Site,31040,,19-06-2025 12:33:30,,12790,19-06-2025 12:47:06,18250,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_123334_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_123337_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_124709_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_124713_2nd_back.jpg
19-06-2025,13:06:12,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0081,AP21TB4935,On-Site,31960,,19-06-2025 13:00:18,,11560,19-06-2025 13:06:03,20400,Legacy/MSW,BETHAMCHERLA_AP21TB4935_20250619_130022_1st_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_130025_1st_back.jpg,BETHAMCHERLA_AP21TB4935_20250619_130607_2nd_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_130610_2nd_back.jpg
19-06-2025,13:12:59,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0082,AP 26 TA 0434,On-Site,28910,,19-06-2025 13:08:04,,9860,19-06-2025 13:12:48,19050,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_130807_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_130810_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_131252_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_131255_2nd_back.jpg
19-06-2025,13:22:27,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0083,AP27TW7569,On-Site,31790,,19-06-2025 13:14:26,,10640,19-06-2025 13:22:07,21150,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_131430_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_131434_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_132211_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_132215_2nd_back.jpg
19-06-2025,15:20:03,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0084,AP27TW7569,On-Site,30750,,19-06-2025 15:13:32,,10650,19-06-2025 15:19:52,20100,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_151338_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_151342_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_151956_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_152000_2nd_back.jpg
19-06-2025,15:26:20,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0085,AP21TB4935,On-Site,30850,,19-06-2025 15:14:53,,11500,19-06-2025 15:26:08,19350,Legacy/MSW,BETHAMCHERLA_AP21TB4935_20250619_151458_1st_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_151501_1st_back.jpg,BETHAMCHERLA_AP21TB4935_20250619_152612_2nd_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_152617_2nd_back.jpg
19-06-2025,15:28:47,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0086,AP 26 TA 0434,On-Site,29230,,19-06-2025 15:21:00,,9890,19-06-2025 15:28:33,19340,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_152829_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_152108_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_152837_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_152843_2nd_back.jpg
19-06-2025,15:31:54,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0087,AP28TC8081,On-Site,30700,,19-06-2025 15:24:20,,12850,19-06-2025 15:31:44,17850,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_152425_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_152428_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_153147_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_153152_2nd_back.jpg
19-06-2025,15:44:28,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0088,AP27TW7569,On-Site,30130,,19-06-2025 15:38:15,,10630,19-06-2025 15:44:13,19500,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_153819_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_153824_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_154417_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_154420_2nd_back.jpg
19-06-2025,15:51:50,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0089,AP21TB4935,On-Site,29240,,19-06-2025 15:42:56,,11460,19-06-2025 15:51:36,17780,Legacy/MSW,BETHAMCHERLA_AP21TB4935_20250619_154300_1st_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_154303_1st_back.jpg,BETHAMCHERLA_AP21TB4935_20250619_155145_2nd_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_155147_2nd_back.jpg
19-06-2025,15:59:24,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0090,AP 26 TA 0434,On-Site,28290,,19-06-2025 15:48:53,,9890,19-06-2025 15:59:09,18400,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_154857_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_154901_1st_back.jpg,,BETHAMCHERLA_AP_26_TA_0434_20250619_155918_2nd_back.jpg
19-06-2025,16:04:32,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0091,AP28TC8081,On-Site,31500,,19-06-2025 15:55:40,,12800,19-06-2025 16:04:16,18700,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_155544_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_155548_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_160421_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_160426_2nd_back.jpg
19-06-2025,16:21:55,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0092,AP21TB4935,On-Site,30760,,19-06-2025 16:13:27,,11480,19-06-2025 16:21:45,19280,Legacy/MSW,BETHAMCHERLA_AP21TB4935_20250619_161331_1st_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_161336_1st_back.jpg,BETHAMCHERLA_AP21TB4935_20250619_162149_2nd_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_162153_2nd_back.jpg
19-06-2025,16:27:59,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0093,AP27TW7569,On-Site,29850,,19-06-2025 16:19:34,,10620,19-06-2025 16:27:49,19230,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_161938_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_161941_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_162753_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_162756_2nd_back.jpg
19-06-2025,16:35:09,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0094,AP 26 TA 0434,On-Site,24410,,19-06-2025 16:26:19,,9880,19-06-2025 16:34:58,14530,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_162623_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_162627_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_163502_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_163505_2nd_back.jpg
19-06-2025,16:38:50,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0095,AP28TC8081,On-Site,26530,,19-06-2025 16:33:11,,11640,19-06-2025 16:38:34,14890,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_163316_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_163319_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_163838_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_163841_2nd_back.jpg
19-06-2025,16:49:44,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0096,AP21TB4935,On-Site,29890,,19-06-2025 16:42:53,,11520,19-06-2025 16:49:36,18370,Legacy/MSW,BETHAMCHERLA_AP21TB4935_20250619_164257_1st_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_164301_1st_back.jpg,BETHAMCHERLA_AP21TB4935_20250619_164939_2nd_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_164942_2nd_back.jpg
19-06-2025,16:54:13,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0097,AP27TW7569,On-Site,29790,,19-06-2025 16:46:59,,10560,19-06-2025 16:54:02,19230,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_164703_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_164706_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_165407_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_165410_2nd_back.jpg
19-06-2025,16:58:33,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0098,AP 26 TA 0434,On-Site,25580,,19-06-2025 16:51:57,,9890,19-06-2025 16:58:24,15690,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_165202_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_165205_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_165827_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_165831_2nd_back.jpg
19-06-2025,17:06:55,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0099,AP28TC8081,On-Site,26860,,19-06-2025 17:00:50,,11870,19-06-2025 17:06:43,14990,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_170054_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_170059_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_170646_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_170651_2nd_back.jpg
19-06-2025,17:21:13,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0100,AP21TB4935,On-Site,28750,,19-06-2025 17:12:00,,11490,19-06-2025 17:21:01,17260,Legacy/MSW,BETHAMCHERLA_AP21TB4935_20250619_171204_1st_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_171208_1st_back.jpg,BETHAMCHERLA_AP21TB4935_20250619_172107_2nd_front.jpg,BETHAMCHERLA_AP21TB4935_20250619_172110_2nd_back.jpg
19-06-2025,17:25:58,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0101,AP27TW7569,On-Site,28430,,19-06-2025 17:17:45,,10630,19-06-2025 17:25:49,17800,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_171749_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_171752_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_172553_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_172556_2nd_back.jpg
19-06-2025,17:30:48,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0102,AP 26 TA 0434,On-Site,27020,,19-06-2025 17:24:18,,9890,19-06-2025 17:30:20,17130,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_172422_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_172426_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_173033_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_173036_2nd_back.jpg
19-06-2025,17:34:32,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0103,AP28TC8081,On-Site,30530,,19-06-2025 17:28:29,,11850,19-06-2025 17:34:20,18680,Legacy/MSW,BETHAMCHERLA_AP28TC8081_20250619_172832_1st_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_172836_1st_back.jpg,BETHAMCHERLA_AP28TC8081_20250619_173425_2nd_front.jpg,BETHAMCHERLA_AP28TC8081_20250619_173429_2nd_back.jpg
19-06-2025,17:47:58,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0104,AP27TW7569,On-Site,30910,,19-06-2025 17:40:58,,10640,19-06-2025 17:47:48,20270,Legacy/MSW,BETHAMCHERLA_AP27TW7569_20250619_174103_1st_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_174107_1st_back.jpg,BETHAMCHERLA_AP27TW7569_20250619_174751_2nd_front.jpg,BETHAMCHERLA_AP27TW7569_20250619_174755_2nd_back.jpg
19-06-2025,18:04:42,BETHAMCHERLA,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0105,AP 26 TA 0434,On-Site,24970,,19-06-2025 17:57:24,,9900,19-06-2025 18:04:32,15070,Legacy/MSW,BETHAMCHERLA_AP_26_TA_0434_20250619_175728_1st_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_175731_1st_back.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_180435_2nd_front.jpg,BETHAMCHERLA_AP_26_TA_0434_20250619_180439_2nd_back.jpg
