Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
21-06-2025,03:48:21,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0013,1111,On-site,35240.73,21-06-2025 02:25:23,5759.41,21-06-2025 03:48:15,29481.32,Inert,,,,,Avijit Mondal,admin
21-06-2025,02:26:10,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0014,1111,On-site,21736.70,21-06-2025 02:25:47,13358.39,21-06-2025 02:26:02,8378.31,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:48:53,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0015,1111,On-site,41629.41,21-06-2025 02:26:26,13363.80,21-06-2025 03:48:49,28265.61,Legacy/MSW,,,,,Avijit Mondal,admin
21-06-2025,03:49:08,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0016,1111,On-site,18086.59,21-06-2025 03:01:12,12596.25,21-06-2025 03:49:04,5490.34,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:02:05,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0017,1111,On-site,36870.72,21-06-2025 03:01:41,13267.31,21-06-2025 03:01:57,23603.41,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:49:21,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0018,1111,On-site,22163.61,21-06-2025 03:02:20,5447.97,21-06-2025 03:49:17,16715.64,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:49:33,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0019,1111,On-site,41716.89,21-06-2025 03:03:11,10047.53,21-06-2025 03:49:29,31669.36,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:51:28,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0020,1111,On-site,39213.27,21-06-2025 03:05:13,13243.48,21-06-2025 03:51:25,25969.79,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:50:26,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0021,1112,On-site,36291.27,21-06-2025 03:34:40,12423.59,21-06-2025 03:50:20,23867.68,Inert,,,,,Avijit Mondal,admin
21-06-2025,03:51:43,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0022,1113,On-site,20564.87,21-06-2025 03:35:16,5815.24,21-06-2025 03:51:37,14749.63,Legacy/MSW,,,Yemmiganur_1113_20250621_035141_2nd_front.jpg,,Avijit Mondal,admin
21-06-2025,03:51:56,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0023,1112,On-site,29304.23,21-06-2025 03:50:38,6655.31,21-06-2025 03:51:52,22648.92,Inert,,,,,Avijit Mondal,admin
21-06-2025,04:02:58,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0024,1111,On-site,28088.18,21-06-2025 04:01:40,12711.62,21-06-2025 04:02:55,15376.56,Inert,,,,,Avijit Mondal,admin
21-06-2025,04:02:19,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0025,1111,On-site,16510.60,21-06-2025 04:01:52,12695.79,21-06-2025 04:02:13,3814.81,Inert,,,,,Avijit Mondal,admin
21-06-2025,04:02:46,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0026,1112,On-site,35128.24,21-06-2025 04:02:35,6738.11,21-06-2025 04:02:42,28390.13,Inert,,,,,Avijit Mondal,admin
21-06-2025,04:04:17,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T0027,1112,On-site,15087.64,21-06-2025 04:03:06,7092.18,21-06-2025 04:04:14,7995.46,Inert,,,,,Avijit Mondal,admin
21-06-2025,04:04:27,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0028,1111,On-site,34951.52,21-06-2025 04:03:40,10610.57,21-06-2025 04:04:23,24340.95,Legacy/MSW,,,,,Avijit Mondal,admin
21-06-2025,04:04:38,Yemmiganur,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0029,1113,On-site,43552.17,21-06-2025 04:04:03,8320.18,21-06-2025 04:04:35,35231.99,Legacy/MSW,,,,,Avijit Mondal,admin
