Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
2025-07-19,0:21:29,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2389,AP28TC8081,On-site,30200,18-07-2025 22:48:32,10050,19-07-2025 00:21:20,20150,Soil,Bethamcherla_AP28TC8081_20250718_224835_1st_front.jpg,Bethamcherla_AP28TC8081_20250718_224840_1st_back.jpg,Bethamcherla_AP28TC8081_20250719_002123_2nd_front.jpg,Bethamcherla_AP28TC8081_20250719_002127_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,0:05:52,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2394,AP27TW7569,On-site,31210,18-07-2025 23:42:59,10110,19-07-2025 00:05:44,21100,Soil,Bethamcherla_AP27TW7569_20250718_234304_1st_front.jpg,Bethamcherla_AP27TW7569_20250718_234306_1st_back.jpg,Bethamcherla_AP27TW7569_20250719_000547_2nd_front.jpg,Bethamcherla_AP27TW7569_20250719_000549_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,0:15:04,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2395,AP21TB4935,On-site,30910,18-07-2025 23:49:05,11250,19-07-2025 00:14:55,19660,Soil,Bethamcherla_AP21TB4935_20250718_234910_1st_front.jpg,Bethamcherla_AP21TB4935_20250718_234912_1st_back.jpg,Bethamcherla_AP21TB4935_20250719_001458_2nd_front.jpg,Bethamcherla_AP21TB4935_20250719_001501_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,0:26:30,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2396,AP 26 TA 0434,On-site,30100,19-07-2025 00:01:24,10900,19-07-2025 00:26:20,19200,Soil,Bethamcherla_AP_26_TA_0434_20250719_000128_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250719_000131_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250719_002624_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250719_002626_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,0:39:33,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2397,AP27TW7569,On-site,29770,19-07-2025 00:13:05,10930,19-07-2025 00:39:23,18840,Soil,Bethamcherla_AP27TW7569_20250719_001309_1st_front.jpg,Bethamcherla_AP27TW7569_20250719_001311_1st_back.jpg,Bethamcherla_AP27TW7569_20250719_003928_2nd_front.jpg,Bethamcherla_AP27TW7569_20250719_003931_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,0:54:05,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2398,AP21TB4935,On-site,31440,19-07-2025 00:23:40,9990,19-07-2025 00:53:52,21450,Soil,Bethamcherla_AP21TB4935_20250719_002344_1st_front.jpg,Bethamcherla_AP21TB4935_20250719_002347_1st_back.jpg,Bethamcherla_AP21TB4935_20250719_005359_2nd_front.jpg,Bethamcherla_AP21TB4935_20250719_005403_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,0:50:04,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2399,AP28TC8081,On-site,31330,19-07-2025 00:28:33,10090,19-07-2025 00:49:54,21240,Soil,Bethamcherla_AP28TC8081_20250719_002837_1st_front.jpg,Bethamcherla_AP28TC8081_20250719_002839_1st_back.jpg,Bethamcherla_AP28TC8081_20250719_004957_2nd_front.jpg,Bethamcherla_AP28TC8081_20250719_005002_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,1:03:06,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2400,AP 26 TA 0434,On-site,31760,19-07-2025 00:33:13,10200,19-07-2025 01:02:57,21560,Soil,Bethamcherla_AP_26_TA_0434_20250719_003318_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250719_003321_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250719_010301_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250719_010303_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,1:08:26,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2401,AP27TW7569,On-site,29260,19-07-2025 00:48:18,10510,19-07-2025 01:08:16,18750,Soil,Bethamcherla_AP27TW7569_20250719_004823_1st_front.jpg,Bethamcherla_AP27TW7569_20250719_004825_1st_back.jpg,Bethamcherla_AP27TW7569_20250719_010820_2nd_front.jpg,Bethamcherla_AP27TW7569_20250719_010823_2nd_back.jpg,Avijit Mondal,admin
2025-07-19,1:25:41,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T2402,AP28TC8081,On-site,30450,19-07-2025 01:06:14,10950,19-07-2025 01:25:32,19500,Soil,Bethamcherla_AP28TC8081_20250719_010622_1st_front.jpg,Bethamcherla_AP28TC8081_20250719_010625_1st_back.jpg,Bethamcherla_AP28TC8081_20250719_012535_2nd_front.jpg,Bethamcherla_AP28TC8081_20250719_012538_2nd_back.jpg,Avijit Mondal,admin
