Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
2025-07-11,0:12:44,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1710,AP21TB4935,On-site,26480,10-07-2025 23:55:20,10910,11-07-2025 0:12:35,15570,Inert,Bethamcherla_AP21TB4935_20250710_235525_1st_front.jpg,Bethamcherla_AP21TB4935_20250710_235528_1st_back.jpg,Bethamcherla_AP21TB4935_20250711_001239_2nd_front.jpg,Bethamcherla_AP21TB4935_20250711_001242_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,0:15:15,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1711,AP27TW7569,On-site,24900,10-07-2025 23:58:33,11250,11-07-2025 0:15:05,13650,Inert,Bethamcherla_AP27TW7569_20250710_235837_1st_front.jpg,Bethamcherla_AP27TW7569_20250710_235841_1st_back.jpg,Bethamcherla_AP27TW7569_20250711_001508_2nd_front.jpg,Bethamcherla_AP27TW7569_20250711_001511_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,0:22:44,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1712,AP28TC8081,On-site,26780,11-07-2025 0:05:14,11610,11-07-2025 0:22:36,15170,Inert,Bethamcherla_AP28TC8081_20250711_000519_1st_front.jpg,Bethamcherla_AP28TC8081_20250711_000523_1st_back.jpg,Bethamcherla_AP28TC8081_20250711_002239_2nd_front.jpg,Bethamcherla_AP28TC8081_20250711_002242_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,0:25:12,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1713,AP37TD4869,On-site,25790,11-07-2025 0:07:18,10790,11-07-2025 0:25:01,15000,Inert,Bethamcherla_AP37TD4869_20250711_000721_1st_front.jpg,Bethamcherla_AP37TD4869_20250711_000725_1st_back.jpg,Bethamcherla_AP37TD4869_20250711_002503_2nd_front.jpg,Bethamcherla_AP37TD4869_20250711_002509_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,0:54:16,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1714,AP27TW7569,On-site,26090,11-07-2025 0:27:58,11290,11-07-2025 0:54:04,14800,Inert,Bethamcherla_AP27TW7569_20250711_002802_1st_front.jpg,Bethamcherla_AP27TW7569_20250711_002806_1st_back.jpg,Bethamcherla_AP27TW7569_20250711_005408_2nd_front.jpg,Bethamcherla_AP27TW7569_20250711_005412_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,0:55:56,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1716,AP28TC8081,On-site,27000,11-07-2025 0:34:44,11740,11-07-2025 0:55:47,15260,Inert,Bethamcherla_AP28TC8081_20250711_003448_1st_front.jpg,Bethamcherla_AP28TC8081_20250711_003451_1st_back.jpg,Bethamcherla_AP28TC8081_20250711_005551_2nd_front.jpg,Bethamcherla_AP28TC8081_20250711_005553_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,1:01:39,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1715,AP21TB4935,On-site,25500,11-07-2025 0:30:20,10920,11-07-2025 1:01:29,14580,Inert,Bethamcherla_AP21TB4935_20250711_003024_1st_front.jpg,Bethamcherla_AP21TB4935_20250711_003030_1st_back.jpg,Bethamcherla_AP21TB4935_20250711_010133_2nd_front.jpg,Bethamcherla_AP21TB4935_20250711_010137_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,1:02:54,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1717,AP37TD4869,On-site,24380,11-07-2025 0:45:53,10800,11-07-2025 1:02:39,13580,Inert,Bethamcherla_AP37TD4869_20250711_004557_1st_front.jpg,Bethamcherla_AP37TD4869_20250711_004601_1st_back.jpg,Bethamcherla_AP37TD4869_20250711_010243_2nd_front.jpg,Bethamcherla_AP37TD4869_20250711_010251_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,2:40:36,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1719,AP21TB4935,On-site,23930,11-07-2025 2:20:56,10920,11-07-2025 2:40:25,13010,Inert,Bethamcherla_AP21TB4935_20250711_022059_1st_front.jpg,Bethamcherla_AP21TB4935_20250711_022103_1st_back.jpg,Bethamcherla_AP21TB4935_20250711_024030_2nd_front.jpg,Bethamcherla_AP21TB4935_20250711_024034_2nd_back.jpg,Avijit Mondal,admin
2025-07-11,2:47:26,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1720,AP28TC8081,On-site,26340,11-07-2025 2:29:28,11760,11-07-2025 2:47:15,14580,Inert,Bethamcherla_AP28TC8081_20250711_022932_1st_front.jpg,Bethamcherla_AP28TC8081_20250711_022936_1st_back.jpg,Bethamcherla_AP28TC8081_20250711_024719_2nd_front.jpg,Bethamcherla_AP28TC8081_20250711_024723_2nd_back.jpg,Avijit Mondal,admin
