Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
2025-07-05,00:00:40,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1107,ap26ta0434,On-site,29090.00,2025-07-04 23:54:42,10140.00,2025-07-05 00:00:29,18950.00,Legacy/MSW,Bethamcherla_ap26ta0434_20250704_235447_1st_front.jpg,Bethamcherla_ap26ta0434_20250704_235451_1st_back.jpg,Bethamcherla_ap26ta0434_20250705_000034_2nd_front.jpg,Bethamcherla_ap26ta0434_20250705_000037_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,00:08:35,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1108,AP37TD4869,On-site,26670.00,2025-07-05 00:03:29,10640.00,2025-07-05 00:08:24,16030.00,Legacy/MSW,Bethamcherla_AP37TD4869_20250705_000333_1st_front.jpg,Bethamcherla_AP37TD4869_20250705_000337_1st_back.jpg,Bethamcherla_AP37TD4869_20250705_000827_2nd_front.jpg,Bethamcherla_AP37TD4869_20250705_000832_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,00:26:24,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1109,AP21TB4935,On-site,29780.00,2025-07-05 00:18:44,10910.00,2025-07-05 00:26:11,18870.00,Legacy/MSW,Bethamcherla_AP21TB4935_20250705_001849_1st_front.jpg,Bethamcherla_AP21TB4935_20250705_001853_1st_back.jpg,Bethamcherla_AP21TB4935_20250705_002616_2nd_front.jpg,Bethamcherla_AP21TB4935_20250705_002621_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,00:46:33,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1110,AP37TD4869,On-site,29610.00,2025-07-05 00:35:24,10650.00,2025-07-05 00:46:21,18960.00,Legacy/MSW,Bethamcherla_AP37TD4869_20250705_003528_1st_front.jpg,Bethamcherla_AP37TD4869_20250705_003532_1st_back.jpg,Bethamcherla_AP37TD4869_20250705_004626_2nd_front.jpg,Bethamcherla_AP37TD4869_20250705_004629_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,00:52:49,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1111,AP26TA0434,On-site,29520.00,2025-07-05 00:43:04,10180.00,2025-07-05 00:52:37,19340.00,Legacy/MSW,Bethamcherla_AP26TA0434_20250705_004310_1st_front.jpg,Bethamcherla_AP26TA0434_20250705_004316_1st_back.jpg,Bethamcherla_AP26TA0434_20250705_005240_2nd_front.jpg,Bethamcherla_AP26TA0434_20250705_005246_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,00:56:06,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1112,AP21TB4935,On-site,26020.00,2025-07-05 00:48:25,10880.00,2025-07-05 00:55:52,15140.00,Legacy/MSW,Bethamcherla_AP21TB4935_20250705_004829_1st_front.jpg,Bethamcherla_AP21TB4935_20250705_004834_1st_back.jpg,Bethamcherla_AP21TB4935_20250705_005558_2nd_front.jpg,Bethamcherla_AP21TB4935_20250705_005603_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,01:08:38,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1113,AP37TD4869,On-site,25800.00,2025-07-05 01:03:15,10650.00,2025-07-05 01:08:19,15150.00,Legacy/MSW,Bethamcherla_AP37TD4869_20250705_010320_1st_front.jpg,Bethamcherla_AP37TD4869_20250705_010324_1st_back.jpg,Bethamcherla_AP37TD4869_20250705_010825_2nd_front.jpg,Bethamcherla_AP37TD4869_20250705_010830_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,02:51:53,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1114,ap26ta0434,On-site,29640.00,2025-07-05 02:44:31,10160.00,2025-07-05 02:51:42,19480.00,Legacy/MSW,Bethamcherla_ap26ta0434_20250705_024436_1st_front.jpg,Bethamcherla_ap26ta0434_20250705_024440_1st_back.jpg,Bethamcherla_ap26ta0434_20250705_025147_2nd_front.jpg,Bethamcherla_ap26ta0434_20250705_025151_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,03:01:10,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1115,AP21TB4935,On-site,29920.00,2025-07-05 02:53:47,10860.00,2025-07-05 03:00:57,19060.00,Legacy/MSW,Bethamcherla_AP21TB4935_20250705_025351_1st_front.jpg,Bethamcherla_AP21TB4935_20250705_025355_1st_back.jpg,Bethamcherla_AP21TB4935_20250705_030103_2nd_front.jpg,Bethamcherla_AP21TB4935_20250705_030107_2nd_back.jpg,Avijit Mondal,admin
2025-07-05,03:14:14,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1116,ap26ta0434,On-site,26710.00,2025-07-05 03:08:27,10150.00,2025-07-05 03:14:04,16560.00,Legacy/MSW,Bethamcherla_ap26ta0434_20250705_030832_1st_front.jpg,Bethamcherla_ap26ta0434_20250705_030836_1st_back.jpg,Bethamcherla_ap26ta0434_20250705_031408_2nd_front.jpg,Bethamcherla_ap26ta0434_20250705_031411_2nd_back.jpg,Avijit Mondal,admin
