Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
2025-07-14,8:48:14,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1931,AP27TW7569,On-site,29370,14-07-2025 08:22:01,10960,14-07-2025 08:48:06,18410,Soil,Bethamcherla_AP27TW7569_20250714_082207_1st_front.jpg,Bethamcherla_AP27TW7569_20250714_082209_1st_back.jpg,Bethamcherla_AP27TW7569_20250714_084809_2nd_front.jpg,Bethamcherla_AP27TW7569_20250714_084812_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,8:49:40,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1932,AP21TB4935,On-site,29160,14-07-2025 08:24:07,10470,14-07-2025 08:49:32,18690,Soil,Bethamcherla_AP21TB4935_20250714_082415_1st_front.jpg,Bethamcherla_AP21TB4935_20250714_082417_1st_back.jpg,Bethamcherla_AP21TB4935_20250714_084935_2nd_front.jpg,Bethamcherla_AP21TB4935_20250714_084938_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,9:03:29,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1933,AP28TC8081,On-site,28550,14-07-2025 08:40:02,11200,14-07-2025 09:03:16,17350,Soil,Bethamcherla_AP28TC8081_20250714_084008_1st_front.jpg,Bethamcherla_AP28TC8081_20250714_084011_1st_back.jpg,Bethamcherla_AP28TC8081_20250714_090322_2nd_front.jpg,Bethamcherla_AP28TC8081_20250714_090325_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,9:06:09,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1934,AP37TD4869,On-site,32730,14-07-2025 08:44:56,10670,14-07-2025 09:06:00,22060,Soil,Bethamcherla_AP37TD4869_20250714_084500_1st_front.jpg,Bethamcherla_AP37TD4869_20250714_084502_1st_back.jpg,Bethamcherla_AP37TD4869_20250714_090603_2nd_front.jpg,Bethamcherla_AP37TD4869_20250714_090606_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,8:57:27,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1935,AP27TW7569,On-site,28920,14-07-2025 08:57:07,10480,14-07-2025 08:57:16,18440,Soil,,,Bethamcherla_AP27TW7569_20250714_085720_2nd_front.jpg,Bethamcherla_AP27TW7569_20250714_085724_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,9:33:54,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1936,AP27TW7569,On-site,30330,14-07-2025 08:58:01,10990,14-07-2025 09:33:44,19340,Soil,Bethamcherla_AP27TW7569_20250714_085805_1st_front.jpg,Bethamcherla_AP27TW7569_20250714_085808_1st_back.jpg,Bethamcherla_AP27TW7569_20250714_093348_2nd_front.jpg,Bethamcherla_AP27TW7569_20250714_093351_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,9:32:39,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1937,AP21TB4935,On-site,30580,14-07-2025 09:01:39,10470,14-07-2025 09:32:28,20110,Soil,Bethamcherla_AP21TB4935_20250714_090142_1st_front.jpg,Bethamcherla_AP21TB4935_20250714_090145_1st_back.jpg,Bethamcherla_AP21TB4935_20250714_093232_2nd_front.jpg,Bethamcherla_AP21TB4935_20250714_093234_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,9:35:11,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1938,AP28TC8081,On-site,28670,14-07-2025 09:13:38,11290,14-07-2025 09:34:59,17380,Soil,Bethamcherla_AP28TC8081_20250714_091345_1st_front.jpg,Bethamcherla_AP28TC8081_20250714_091348_1st_back.jpg,Bethamcherla_AP28TC8081_20250714_093505_2nd_front.jpg,Bethamcherla_AP28TC8081_20250714_093508_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,9:36:38,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1939,AP37TD4869,On-site,29940,14-07-2025 09:18:25,10990,14-07-2025 09:36:29,18950,Soil,Bethamcherla_AP37TD4869_20250714_091828_1st_front.jpg,Bethamcherla_AP37TD4869_20250714_091831_1st_back.jpg,Bethamcherla_AP37TD4869_20250714_093633_2nd_front.jpg,Bethamcherla_AP37TD4869_20250714_093636_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:11:34,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1940,ap21tb4935,On-site,30870,14-07-2025 09:41:01,10880,14-07-2025 10:11:25,19990,Soil,Bethamcherla_ap21tb4935_20250714_094106_1st_front.jpg,Bethamcherla_ap21tb4935_20250714_094111_1st_back.jpg,Bethamcherla_ap21tb4935_20250714_101128_2nd_front.jpg,Bethamcherla_ap21tb4935_20250714_101131_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:23:47,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1941,AP28TC8081,On-site,29690,14-07-2025 09:47:41,11280,14-07-2025 10:23:38,18410,Soil,Bethamcherla_AP28TC8081_20250714_094745_1st_front.jpg,Bethamcherla_AP28TC8081_20250714_094748_1st_back.jpg,Bethamcherla_AP28TC8081_20250714_102342_2nd_front.jpg,Bethamcherla_AP28TC8081_20250714_102344_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:16:17,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1942,AP37TD4869,On-site,30070,14-07-2025 09:53:33,10880,14-07-2025 10:16:04,19190,Soil,Bethamcherla_AP37TD4869_20250714_095337_1st_front.jpg,Bethamcherla_AP37TD4869_20250714_095339_1st_back.jpg,Bethamcherla_AP37TD4869_20250714_101609_2nd_front.jpg,Bethamcherla_AP37TD4869_20250714_101614_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:25:21,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1943,AP27TW7569,On-site,32510,14-07-2025 10:00:00,10640,14-07-2025 10:25:11,21870,Soil,Bethamcherla_AP27TW7569_20250714_100005_1st_front.jpg,Bethamcherla_AP27TW7569_20250714_100008_1st_back.jpg,Bethamcherla_AP27TW7569_20250714_102515_2nd_front.jpg,Bethamcherla_AP27TW7569_20250714_102519_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:51:40,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1944,AP21TB4935,On-site,30130,14-07-2025 10:21:25,11360,14-07-2025 10:51:29,18770,Soil,Bethamcherla_AP21TB4935_20250714_102133_1st_front.jpg,Bethamcherla_AP21TB4935_20250714_102136_1st_back.jpg,Bethamcherla_AP21TB4935_20250714_105133_2nd_front.jpg,Bethamcherla_AP21TB4935_20250714_105137_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:52:33,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1945,AP37TD4869,On-site,33360,14-07-2025 10:29:35,10900,14-07-2025 10:52:25,22460,Soil,Bethamcherla_AP37TD4869_20250714_102940_1st_front.jpg,Bethamcherla_AP37TD4869_20250714_102943_1st_back.jpg,Bethamcherla_AP37TD4869_20250714_105228_2nd_front.jpg,Bethamcherla_AP37TD4869_20250714_105231_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,10:55:24,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1946,AP28TC8081,On-site,31920,14-07-2025 10:34:55,11200,14-07-2025 10:55:16,20720,Soil,Bethamcherla_AP28TC8081_20250714_103458_1st_front.jpg,Bethamcherla_AP28TC8081_20250714_103501_1st_back.jpg,Bethamcherla_AP28TC8081_20250714_105519_2nd_front.jpg,Bethamcherla_AP28TC8081_20250714_105522_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,11:03:14,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1947,AP27TW7569,On-site,29560,14-07-2025 10:40:25,10880,14-07-2025 11:03:02,18680,Soil,Bethamcherla_AP27TW7569_20250714_104030_1st_front.jpg,Bethamcherla_AP27TW7569_20250714_104033_1st_back.jpg,Bethamcherla_AP27TW7569_20250714_110307_2nd_front.jpg,Bethamcherla_AP27TW7569_20250714_110311_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,11:23:40,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1948,AP21TB4935,On-site,29880,14-07-2025 10:59:12,10970,14-07-2025 11:23:32,18910,Soil,Bethamcherla_AP21TB4935_20250714_105915_1st_front.jpg,Bethamcherla_AP21TB4935_20250714_105919_1st_back.jpg,Bethamcherla_AP21TB4935_20250714_112335_2nd_front.jpg,Bethamcherla_AP21TB4935_20250714_112338_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,11:22:05,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1949,AP37TD4869,On-site,32010,14-07-2025 11:04:06,11300,14-07-2025 11:21:56,20710,Soil,Bethamcherla_AP37TD4869_20250714_110410_1st_front.jpg,Bethamcherla_AP37TD4869_20250714_110413_1st_back.jpg,Bethamcherla_AP37TD4869_20250714_112200_2nd_front.jpg,Bethamcherla_AP37TD4869_20250714_112203_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,11:34:54,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1950,AP28TC8081,On-site,30150,14-07-2025 11:09:16,10920,14-07-2025 11:34:45,19230,Soil,Bethamcherla_AP28TC8081_20250714_110919_1st_front.jpg,Bethamcherla_AP28TC8081_20250714_110922_1st_back.jpg,Bethamcherla_AP28TC8081_20250714_113448_2nd_front.jpg,Bethamcherla_AP28TC8081_20250714_113451_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,11:46:22,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1951,AP27TW7569,On-site,29880,14-07-2025 11:13:21,11320,14-07-2025 11:46:14,18560,Soil,Bethamcherla_AP27TW7569_20250714_111325_1st_front.jpg,Bethamcherla_AP27TW7569_20250714_111328_1st_back.jpg,Bethamcherla_AP27TW7569_20250714_114617_2nd_front.jpg,Bethamcherla_AP27TW7569_20250714_114620_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,11:49:49,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1952,AP37TD4869,On-site,29750,14-07-2025 11:32:41,10710,14-07-2025 11:49:40,19040,Soil,Bethamcherla_AP37TD4869_20250714_113247_1st_front.jpg,Bethamcherla_AP37TD4869_20250714_113250_1st_back.jpg,Bethamcherla_AP37TD4869_20250714_114943_2nd_front.jpg,Bethamcherla_AP37TD4869_20250714_114946_2nd_back.jpg,Avijit Mondal,admin
2025-07-14,12:07:54,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1953,AP21TB4935,On-site,29600,14-07-2025 11:40:54,9980,14-07-2025 12:07:45,19620,Soil,Bethamcherla_AP21TB4935_20250714_114058_1st_front.jpg,Bethamcherla_AP21TB4935_20250714_114102_1st_back.jpg,Bethamcherla_AP21TB4935_20250714_120748_2nd_front.jpg,Bethamcherla_AP21TB4935_20250714_120751_2nd_back.jpg,Avijit Mondal,admin
