Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
07-07-2025,0:01:45,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1300,AP21TB4935,On-site,26890,06-07-2025 23:40:59,10830,07-07-2025 0:01:35,16060,Inert,Bethamcherla_AP21TB4935_20250706_234103_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_234108_1st_back.jpg,Bethamcherla_AP21TB4935_20250707_000139_2nd_front.jpg,Bethamcherla_AP21TB4935_20250707_000142_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:11:19,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1301,AP28TC8081,On-site,28780,06-07-2025 23:50:31,10700,07-07-2025 0:11:02,18080,Inert,Bethamcherla_AP28TC8081_20250706_235034_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_235039_1st_back.jpg,Bethamcherla_AP28TC8081_20250707_001105_2nd_front.jpg,Bethamcherla_AP28TC8081_20250707_001116_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:21:05,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1302,AP 26 TA 0434,On-site,28400,06-07-2025 23:58:46,10000,07-07-2025 0:20:42,18400,Inert,Bethamcherla_AP_26_TA_0434_20250706_235850_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_235853_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250707_002059_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250707_002102_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:39:53,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1303,AP37TD4869,On-site,29100,07-07-2025 0:13:51,10450,07-07-2025 0:39:41,18650,Inert,Bethamcherla_AP37TD4869_20250707_001356_1st_front.jpg,Bethamcherla_AP37TD4869_20250707_001359_1st_back.jpg,Bethamcherla_AP37TD4869_20250707_003945_2nd_front.jpg,Bethamcherla_AP37TD4869_20250707_003950_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:32:23,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1304,AP27TW7569,On-site,27400,07-07-2025 0:16:56,10800,07-07-2025 0:32:13,16600,Inert,Bethamcherla_AP27TW7569_20250707_001700_1st_front.jpg,Bethamcherla_AP27TW7569_20250707_001703_1st_back.jpg,Bethamcherla_AP27TW7569_20250707_003217_2nd_front.jpg,Bethamcherla_AP27TW7569_20250707_003220_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:45:08,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1305,AP21TB4935,On-site,26750,07-07-2025 0:24:13,10880,07-07-2025 0:44:57,15870,Inert,Bethamcherla_AP21TB4935_20250707_002418_1st_front.jpg,Bethamcherla_AP21TB4935_20250707_002422_1st_back.jpg,Bethamcherla_AP21TB4935_20250707_004503_2nd_front.jpg,Bethamcherla_AP21TB4935_20250707_004506_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:52:54,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1306,AP28TC8081,On-site,29300,07-07-2025 0:30:08,11110,07-07-2025 0:52:44,18190,Inert,Bethamcherla_AP28TC8081_20250707_003012_1st_front.jpg,Bethamcherla_AP28TC8081_20250707_003017_1st_back.jpg,Bethamcherla_AP28TC8081_20250707_005248_2nd_front.jpg,Bethamcherla_AP28TC8081_20250707_005252_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,0:55:57,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1307,AP 26 TA 0434,On-site,28200,07-07-2025 0:37:15,10050,07-07-2025 0:55:34,18150,Inert,Bethamcherla_AP_26_TA_0434_20250707_003719_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250707_003722_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250707_005551_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250707_005554_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,1:00:23,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1308,AP27TW7569,On-site,29960,07-07-2025 0:43:18,10920,07-07-2025 1:00:15,19040,Inert,Bethamcherla_AP27TW7569_20250707_004321_1st_front.jpg,Bethamcherla_AP27TW7569_20250707_004325_1st_back.jpg,Bethamcherla_AP27TW7569_20250707_010018_2nd_front.jpg,Bethamcherla_AP27TW7569_20250707_010021_2nd_back.jpg,Avijit Mondal,admin
07-07-2025,3:29:18,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1309,AP37TD4869,On-site,26260,07-07-2025 0:50:32,10840,07-07-2025 3:29:09,15420,Inert,Bethamcherla_AP37TD4869_20250707_005035_1st_front.jpg,Bethamcherla_AP37TD4869_20250707_005039_1st_back.jpg,Bethamcherla_AP37TD4869_20250707_032912_2nd_front.jpg,Bethamcherla_AP37TD4869_20250707_032915_2nd_back.jpg,Avijit Mondal,admin
