Date,Time,Site Name,Agency Name,Material,Ticket No,Vehicle No,Transfer Party Name,First Weight,First Timestamp,Second Weight,Second Timestamp,Net Weight,Material Type,First Front Image,First Back Image,Second Front Image,Second Back Image,Site Incharge,User Name
04-07-2025,00:07:06,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1025,AP21TB4935,On-site,24360.00,04-07-2025 00:01:24,10610.00,04-07-2025 00:06:56,13750.00,Legacy/MSW,Bethamcherla_AP21TB4935_20250704_000128_1st_front.jpg,Bethamcherla_AP21TB4935_20250704_000131_1st_back.jpg,Bethamcherla_AP21TB4935_20250704_000700_2nd_front.jpg,Bethamcherla_AP21TB4935_20250704_000704_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,00:20:28,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1026,AP27TW7569,On-site,25050.00,04-07-2025 00:13:23,10530.00,04-07-2025 00:20:14,14520.00,Legacy/MSW,Bethamcherla_AP27TW7569_20250704_001328_1st_front.jpg,Bethamcherla_AP27TW7569_20250704_001331_1st_back.jpg,Bethamcherla_AP27TW7569_20250704_002018_2nd_front.jpg,Bethamcherla_AP27TW7569_20250704_002022_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,00:31:13,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1027,AP37TD4869,On-site,24280.00,04-07-2025 00:25:31,10510.00,04-07-2025 00:31:00,13770.00,Legacy/MSW,Bethamcherla_AP37TD4869_20250704_002535_1st_front.jpg,Bethamcherla_AP37TD4869_20250704_002541_1st_back.jpg,Bethamcherla_AP37TD4869_20250704_003104_2nd_front.jpg,Bethamcherla_AP37TD4869_20250704_003109_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,00:41:21,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1028,AP 26 TA 0434,On-site,23710.00,04-07-2025 00:32:18,10090.00,04-07-2025 00:41:08,13620.00,Legacy/MSW,Bethamcherla_AP_26_TA_0434_20250704_003222_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250704_003228_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250704_004112_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250704_004116_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,00:48:32,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1029,AP21TB4935,On-site,23660.00,04-07-2025 00:42:48,10600.00,04-07-2025 00:48:21,13060.00,Legacy/MSW,Bethamcherla_AP21TB4935_20250704_004253_1st_front.jpg,Bethamcherla_AP21TB4935_20250704_004256_1st_back.jpg,Bethamcherla_AP21TB4935_20250704_004825_2nd_front.jpg,Bethamcherla_AP21TB4935_20250704_004829_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,00:56:57,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1030,AP37TD4869,On-site,25970.00,04-07-2025 00:50:01,10530.00,04-07-2025 00:56:44,15440.00,Legacy/MSW,Bethamcherla_AP37TD4869_20250704_005006_1st_front.jpg,Bethamcherla_AP37TD4869_20250704_005010_1st_back.jpg,Bethamcherla_AP37TD4869_20250704_005649_2nd_front.jpg,Bethamcherla_AP37TD4869_20250704_005654_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,01:09:44,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1031,AP37TD4869,On-site,28350.00,04-07-2025 01:03:52,10520.00,04-07-2025 01:09:32,17830.00,Legacy/MSW,Bethamcherla_AP37TD4869_20250704_010358_1st_front.jpg,Bethamcherla_AP37TD4869_20250704_010403_1st_back.jpg,Bethamcherla_AP37TD4869_20250704_010937_2nd_front.jpg,Bethamcherla_AP37TD4869_20250704_010941_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,01:24:51,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1032,AP 26 TA 0434,On-site,25020.00,04-07-2025 01:18:36,10240.00,04-07-2025 01:24:35,14780.00,Legacy/MSW,Bethamcherla_AP_26_TA_0434_20250704_011846_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250704_011851_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250704_012441_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250704_012447_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,01:52:30,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1033,AP21TB4935,On-site,26460,04-07-2025 01:44:37,10600.00,04-07-2025 01:52:10,15830.00,Legacy/MSW,Bethamcherla_AP21TB4935_20250704_014443_1st_front.jpg,Bethamcherla_AP21TB4935_20250704_014449_1st_back.jpg,Bethamcherla_AP21TB4935_20250704_015220_2nd_front.jpg,Bethamcherla_AP21TB4935_20250704_015224_2nd_back.jpg,Avijit Mondal,admin
04-07-2025,01:53:33,Bethamcherla,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1034,AP27TW7569,On-site,26970.00,04-07-2025 01:46:23,10630.00,04-07-2025 01:53:18,16370.00,Legacy/MSW,Bethamcherla_AP27TW7569_20250704_014629_1st_front.jpg,Bethamcherla_AP27TW7569_20250704_014635_1st_back.jpg,Bethamcherla_AP27TW7569_20250704_015323_2nd_front.jpg,Bethamcherla_AP27TW7569_20250704_015327_2nd_back.jpg,Avijit Mondal,admin
